"","formulae","accuracy"
"420","dummy.living ~ width + verticalness + right_diagonals",0.6375
"443","dummy.living ~ width + horizontalness + nr_eyes",0.6375
"483","dummy.living ~ span + cols_with_5 + horizontalness",0.6375
"542","dummy.living ~ span + verticalness + nr_eyes",0.6375
"548","dummy.living ~ span + top2tile + right_diagonals",0.6375
"553","dummy.living ~ span + bottom2tile + horizontalness",0.6375
"555","dummy.living ~ span + bottom2tile + right_diagonals",0.6375
"561","dummy.living ~ span + horizontalness + right_diagonals",0.6375
"637","dummy.living ~ rows_with_5 + right2tile + nr_regions",0.6375
"639","dummy.living ~ rows_with_5 + right2tile + hollowness",0.6375
"643","dummy.living ~ rows_with_5 + verticalness + horizontalness",0.6375
"679","dummy.living ~ rows_with_5 + right_diagonals + avg_pixel_weight",0.6375
"687","dummy.living ~ cols_with_5 + neigh1 + left2tile",0.6375
"692","dummy.living ~ cols_with_5 + neigh1 + horizontalness",0.6375
"714","dummy.living ~ cols_with_5 + left2tile + bottom2tile",0.6375
"919","dummy.living ~ neigh5 + nr_eyes + avg_pixel_weight",0.6375
"927","dummy.living ~ left2tile + right2tile + nr_regions",0.6375
"980","dummy.living ~ right2tile + verticalness + right_diagonals",0.6375
"983","dummy.living ~ right2tile + verticalness + hollowness",0.6375
"1121","dummy.living ~ left_diagonals + right_diagonals + nr_regions",0.6375
"42","dummy.living ~ nr_pix + span + verticalness",0.63125
"51","dummy.living ~ nr_pix + span + avg_pixel_weight",0.63125
"66","dummy.living ~ nr_pix + rows_with_5 + avg_pixel_weight",0.63125
"78","dummy.living ~ nr_pix + cols_with_5 + nr_eyes",0.63125
"101","dummy.living ~ nr_pix + neigh5 + right_diagonals",0.63125
"125","dummy.living ~ nr_pix + right2tile + hollowness",0.63125
"134","dummy.living ~ nr_pix + verticalness + hollowness",0.63125
"163","dummy.living ~ nr_pix + right_diagonals + nr_eyes",0.63125
"332","dummy.living ~ width + span + top2tile",0.63125
"358","dummy.living ~ width + cols_with_5 + left2tile",0.63125
"475","dummy.living ~ span + rows_with_5 + avg_pixel_weight",0.63125
"546","dummy.living ~ span + top2tile + horizontalness",0.63125
"619","dummy.living ~ rows_with_5 + neigh5 + avg_pixel_weight",0.63125
"630","dummy.living ~ rows_with_5 + left2tile + avg_pixel_weight",0.63125
"664","dummy.living ~ rows_with_5 + bottom2tile + avg_pixel_weight",0.63125
"694","dummy.living ~ cols_with_5 + neigh1 + right_diagonals",0.63125
"757","dummy.living ~ cols_with_5 + horizontalness + right_diagonals",0.63125
"803","dummy.living ~ neigh1 + right2tile + horizontalness",0.63125
"810","dummy.living ~ neigh1 + verticalness + top2tile",0.63125
"825","dummy.living ~ neigh1 + top2tile + hollowness",0.63125
"839","dummy.living ~ neigh1 + horizontalness + avg_pixel_weight",0.63125
"866","dummy.living ~ neigh5 + right2tile + verticalness",0.63125
"935","dummy.living ~ left2tile + verticalness + right_diagonals",0.63125
"961","dummy.living ~ left2tile + left_diagonals + right_diagonals",0.63125
"1018","dummy.living ~ right2tile + nr_eyes + hollowness",0.63125
"1020","dummy.living ~ right2tile + hollowness + avg_pixel_weight",0.63125
"1070","dummy.living ~ top2tile + left_diagonals + right_diagonals",0.63125
"1080","dummy.living ~ top2tile + nr_regions + hollowness",0.63125
"1086","dummy.living ~ bottom2tile + horizontalness + right_diagonals",0.63125
"20","dummy.living ~ nr_pix + width + rows_with_5",0.625
"37","dummy.living ~ nr_pix + span + cols_with_5",0.625
"87","dummy.living ~ nr_pix + neigh1 + horizontalness",0.625
"113","dummy.living ~ nr_pix + left2tile + nr_regions",0.625
"128","dummy.living ~ nr_pix + verticalness + bottom2tile",0.625
"129","dummy.living ~ nr_pix + verticalness + horizontalness",0.625
"218","dummy.living ~ height + rows_with_5 + hollowness",0.625
"236","dummy.living ~ height + neigh1 + right2tile",0.625
"280","dummy.living ~ height + verticalness + top2tile",0.625
"287","dummy.living ~ height + verticalness + hollowness",0.625
"471","dummy.living ~ span + rows_with_5 + right_diagonals",0.625
"504","dummy.living ~ span + neigh5 + right2tile",0.625
"520","dummy.living ~ span + left2tile + left_diagonals",0.625
"627","dummy.living ~ rows_with_5 + left2tile + nr_regions",0.625
"641","dummy.living ~ rows_with_5 + verticalness + top2tile",0.625
"809","dummy.living ~ neigh1 + right2tile + avg_pixel_weight",0.625
"832","dummy.living ~ neigh1 + bottom2tile + hollowness",0.625
"876","dummy.living ~ neigh5 + verticalness + top2tile",0.625
"888","dummy.living ~ neigh5 + top2tile + right_diagonals",0.625
"894","dummy.living ~ neigh5 + bottom2tile + left_diagonals",0.625
"938","dummy.living ~ left2tile + verticalness + hollowness",0.625
"1016","dummy.living ~ right2tile + nr_regions + hollowness",0.625
"1040","dummy.living ~ verticalness + horizontalness + hollowness",0.625
"1050","dummy.living ~ verticalness + right_diagonals + avg_pixel_weight",0.625
"1051","dummy.living ~ verticalness + nr_regions + nr_eyes",0.625
"109","dummy.living ~ nr_pix + left2tile + bottom2tile",0.61875
"110","dummy.living ~ nr_pix + left2tile + horizontalness",0.61875
"127","dummy.living ~ nr_pix + verticalness + top2tile",0.61875
"329","dummy.living ~ width + span + left2tile",0.61875
"334","dummy.living ~ width + span + horizontalness",0.61875
"424","dummy.living ~ width + verticalness + avg_pixel_weight",0.61875
"481","dummy.living ~ span + cols_with_5 + top2tile",0.61875
"530","dummy.living ~ span + right2tile + left_diagonals",0.61875
"540","dummy.living ~ span + verticalness + right_diagonals",0.61875
"544","dummy.living ~ span + verticalness + avg_pixel_weight",0.61875
"566","dummy.living ~ span + left_diagonals + right_diagonals",0.61875
"634","dummy.living ~ rows_with_5 + right2tile + horizontalness",0.61875
"640","dummy.living ~ rows_with_5 + right2tile + avg_pixel_weight",0.61875
"649","dummy.living ~ rows_with_5 + verticalness + avg_pixel_weight",0.61875
"657","dummy.living ~ rows_with_5 + top2tile + avg_pixel_weight",0.61875
"658","dummy.living ~ rows_with_5 + bottom2tile + horizontalness",0.61875
"759","dummy.living ~ cols_with_5 + horizontalness + nr_eyes",0.61875
"873","dummy.living ~ neigh5 + right2tile + nr_eyes",0.61875
"880","dummy.living ~ neigh5 + verticalness + right_diagonals",0.61875
"914","dummy.living ~ neigh5 + right_diagonals + avg_pixel_weight",0.61875
"957","dummy.living ~ left2tile + horizontalness + nr_regions",0.61875
"970","dummy.living ~ left2tile + nr_regions + nr_eyes",0.61875
"971","dummy.living ~ left2tile + nr_regions + hollowness",0.61875
"1004","dummy.living ~ right2tile + horizontalness + hollowness",0.61875
"1031","dummy.living ~ verticalness + bottom2tile + right_diagonals",0.61875
"1041","dummy.living ~ verticalness + horizontalness + avg_pixel_weight",0.61875
"26","dummy.living ~ nr_pix + width + verticalness",0.6125
"35","dummy.living ~ nr_pix + width + avg_pixel_weight",0.6125
"41","dummy.living ~ nr_pix + span + right2tile",0.6125
"268","dummy.living ~ height + left2tile + hollowness",0.6125
"278","dummy.living ~ height + right2tile + hollowness",0.6125
"336","dummy.living ~ width + span + right_diagonals",0.6125
"361","dummy.living ~ width + cols_with_5 + top2tile",0.6125
"433","dummy.living ~ width + bottom2tile + horizontalness",0.6125
"454","dummy.living ~ width + right_diagonals + avg_pixel_weight",0.6125
"465","dummy.living ~ span + rows_with_5 + right2tile",0.6125
"487","dummy.living ~ span + cols_with_5 + nr_eyes",0.6125
"507","dummy.living ~ span + neigh5 + bottom2tile",0.6125
"568","dummy.living ~ span + left_diagonals + nr_eyes",0.6125
"642","dummy.living ~ rows_with_5 + verticalness + bottom2tile",0.6125
"666","dummy.living ~ rows_with_5 + horizontalness + right_diagonals",0.6125
"669","dummy.living ~ rows_with_5 + horizontalness + hollowness",0.6125
"812","dummy.living ~ neigh1 + verticalness + horizontalness",0.6125
"822","dummy.living ~ neigh1 + top2tile + right_diagonals",0.6125
"829","dummy.living ~ neigh1 + bottom2tile + right_diagonals",0.6125
"863","dummy.living ~ neigh5 + left2tile + nr_eyes",0.6125
"887","dummy.living ~ neigh5 + top2tile + left_diagonals",0.6125
"996","dummy.living ~ right2tile + bottom2tile + nr_regions",0.6125
"1002","dummy.living ~ right2tile + horizontalness + nr_regions",0.6125
"1015","dummy.living ~ right2tile + nr_regions + nr_eyes",0.6125
"1061","dummy.living ~ top2tile + bottom2tile + nr_eyes",0.6125
"17","dummy.living ~ nr_pix + height + hollowness",0.60625
"19","dummy.living ~ nr_pix + width + span",0.60625
"60","dummy.living ~ nr_pix + rows_with_5 + horizontalness",0.60625
"135","dummy.living ~ nr_pix + verticalness + avg_pixel_weight",0.60625
"152","dummy.living ~ nr_pix + horizontalness + right_diagonals",0.60625
"333","dummy.living ~ width + span + bottom2tile",0.60625
"363","dummy.living ~ width + cols_with_5 + horizontalness",0.60625
"386","dummy.living ~ width + neigh5 + top2tile",0.60625
"416","dummy.living ~ width + verticalness + top2tile",0.60625
"466","dummy.living ~ span + rows_with_5 + verticalness",0.60625
"515","dummy.living ~ span + left2tile + right2tile",0.60625
"651","dummy.living ~ rows_with_5 + top2tile + horizontalness",0.60625
"670","dummy.living ~ rows_with_5 + horizontalness + avg_pixel_weight",0.60625
"675","dummy.living ~ rows_with_5 + left_diagonals + avg_pixel_weight",0.60625
"688","dummy.living ~ cols_with_5 + neigh1 + right2tile",0.60625
"749","dummy.living ~ cols_with_5 + bottom2tile + horizontalness",0.60625
"799","dummy.living ~ neigh1 + left2tile + avg_pixel_weight",0.60625
"870","dummy.living ~ neigh5 + right2tile + left_diagonals",0.60625
"933","dummy.living ~ left2tile + verticalness + horizontalness",0.60625
"1003","dummy.living ~ right2tile + horizontalness + nr_eyes",0.60625
"1005","dummy.living ~ right2tile + horizontalness + avg_pixel_weight",0.60625
"1101","dummy.living ~ bottom2tile + nr_regions + hollowness",0.60625
"27","dummy.living ~ nr_pix + width + top2tile",0.6
"40","dummy.living ~ nr_pix + span + left2tile",0.6
"387","dummy.living ~ width + neigh5 + bottom2tile",0.6
"441","dummy.living ~ width + horizontalness + right_diagonals",0.6
"448","dummy.living ~ width + left_diagonals + nr_eyes",0.6
"506","dummy.living ~ span + neigh5 + top2tile",0.6
"510","dummy.living ~ span + neigh5 + right_diagonals",0.6
"539","dummy.living ~ span + verticalness + left_diagonals",0.6
"725","dummy.living ~ cols_with_5 + right2tile + horizontalness",0.6
"856","dummy.living ~ neigh5 + left2tile + verticalness",0.6
"860","dummy.living ~ neigh5 + left2tile + left_diagonals",0.6
"877","dummy.living ~ neigh5 + verticalness + bottom2tile",0.6
"892","dummy.living ~ neigh5 + top2tile + avg_pixel_weight",0.6
"899","dummy.living ~ neigh5 + bottom2tile + avg_pixel_weight",0.6
"932","dummy.living ~ left2tile + verticalness + bottom2tile",0.6
"1012","dummy.living ~ right2tile + right_diagonals + nr_eyes",0.6
"1076","dummy.living ~ top2tile + right_diagonals + nr_eyes",0.6
"1114","dummy.living ~ horizontalness + right_diagonals + avg_pixel_weight",0.6
"28","dummy.living ~ nr_pix + width + bottom2tile",0.59375
"106","dummy.living ~ nr_pix + left2tile + right2tile",0.59375
"139","dummy.living ~ nr_pix + top2tile + right_diagonals",0.59375
"330","dummy.living ~ width + span + right2tile",0.59375
"338","dummy.living ~ width + span + nr_eyes",0.59375
"345","dummy.living ~ width + rows_with_5 + right2tile",0.59375
"351","dummy.living ~ width + rows_with_5 + right_diagonals",0.59375
"384","dummy.living ~ width + neigh5 + right2tile",0.59375
"406","dummy.living ~ width + right2tile + verticalness",0.59375
"417","dummy.living ~ width + verticalness + bottom2tile",0.59375
"426","dummy.living ~ width + top2tile + horizontalness",0.59375
"428","dummy.living ~ width + top2tile + right_diagonals",0.59375
"435","dummy.living ~ width + bottom2tile + right_diagonals",0.59375
"505","dummy.living ~ span + neigh5 + verticalness",0.59375
"533","dummy.living ~ span + right2tile + nr_eyes",0.59375
"615","dummy.living ~ rows_with_5 + neigh5 + right_diagonals",0.59375
"837","dummy.living ~ neigh1 + horizontalness + nr_eyes",0.59375
"1112","dummy.living ~ horizontalness + right_diagonals + nr_eyes",0.59375
"29","dummy.living ~ nr_pix + width + horizontalness",0.5875
"43","dummy.living ~ nr_pix + span + top2tile",0.5875
"45","dummy.living ~ nr_pix + span + horizontalness",0.5875
"107","dummy.living ~ nr_pix + left2tile + verticalness",0.5875
"157","dummy.living ~ nr_pix + left_diagonals + right_diagonals",0.5875
"165","dummy.living ~ nr_pix + right_diagonals + avg_pixel_weight",0.5875
"328","dummy.living ~ width + span + neigh5",0.5875
"340","dummy.living ~ width + span + avg_pixel_weight",0.5875
"346","dummy.living ~ width + rows_with_5 + verticalness",0.5875
"437","dummy.living ~ width + bottom2tile + nr_eyes",0.5875
"503","dummy.living ~ span + neigh5 + left2tile",0.5875
"516","dummy.living ~ span + left2tile + verticalness",0.5875
"554","dummy.living ~ span + bottom2tile + left_diagonals",0.5875
"715","dummy.living ~ cols_with_5 + left2tile + horizontalness",0.5875
"717","dummy.living ~ cols_with_5 + left2tile + right_diagonals",0.5875
"885","dummy.living ~ neigh5 + top2tile + bottom2tile",0.5875
"928","dummy.living ~ left2tile + right2tile + nr_eyes",0.5875
"939","dummy.living ~ left2tile + verticalness + avg_pixel_weight",0.5875
"974","dummy.living ~ left2tile + nr_eyes + avg_pixel_weight",0.5875
"1019","dummy.living ~ right2tile + nr_eyes + avg_pixel_weight",0.5875
"1022","dummy.living ~ verticalness + top2tile + horizontalness",0.5875
"1053","dummy.living ~ verticalness + nr_regions + avg_pixel_weight",0.5875
"1059","dummy.living ~ top2tile + bottom2tile + right_diagonals",0.5875
"1078","dummy.living ~ top2tile + right_diagonals + avg_pixel_weight",0.5875
"94","dummy.living ~ nr_pix + neigh5 + left2tile",0.58125
"137","dummy.living ~ nr_pix + top2tile + horizontalness",0.58125
"320","dummy.living ~ height + nr_regions + hollowness",0.58125
"325","dummy.living ~ width + span + rows_with_5",0.58125
"400","dummy.living ~ width + left2tile + left_diagonals",0.58125
"430","dummy.living ~ width + top2tile + nr_eyes",0.58125
"446","dummy.living ~ width + left_diagonals + right_diagonals",0.58125
"525","dummy.living ~ span + left2tile + avg_pixel_weight",0.58125
"535","dummy.living ~ span + right2tile + avg_pixel_weight",0.58125
"550","dummy.living ~ span + top2tile + nr_eyes",0.58125
"620","dummy.living ~ rows_with_5 + left2tile + right2tile",0.58125
"653","dummy.living ~ rows_with_5 + top2tile + right_diagonals",0.58125
"912","dummy.living ~ neigh5 + right_diagonals + nr_eyes",0.58125
"960","dummy.living ~ left2tile + horizontalness + avg_pixel_weight",0.58125
"979","dummy.living ~ right2tile + verticalness + left_diagonals",0.58125
"1008","dummy.living ~ right2tile + left_diagonals + nr_eyes",0.58125
"1065","dummy.living ~ top2tile + horizontalness + right_diagonals",0.58125
"1091","dummy.living ~ bottom2tile + left_diagonals + right_diagonals",0.58125
"1099","dummy.living ~ bottom2tile + right_diagonals + avg_pixel_weight",0.58125
"24","dummy.living ~ nr_pix + width + left2tile",0.575
"58","dummy.living ~ nr_pix + rows_with_5 + top2tile",0.575
"100","dummy.living ~ nr_pix + neigh5 + left_diagonals",0.575
"142","dummy.living ~ nr_pix + top2tile + hollowness",0.575
"144","dummy.living ~ nr_pix + bottom2tile + horizontalness",0.575
"146","dummy.living ~ nr_pix + bottom2tile + right_diagonals",0.575
"335","dummy.living ~ width + span + left_diagonals",0.575
"390","dummy.living ~ width + neigh5 + right_diagonals",0.575
"415","dummy.living ~ width + right2tile + avg_pixel_weight",0.575
"547","dummy.living ~ span + top2tile + left_diagonals",0.575
"624","dummy.living ~ rows_with_5 + left2tile + horizontalness",0.575
"807","dummy.living ~ neigh1 + right2tile + nr_eyes",0.575
"934","dummy.living ~ left2tile + verticalness + left_diagonals",0.575
"958","dummy.living ~ left2tile + horizontalness + nr_eyes",0.575
"967","dummy.living ~ left2tile + right_diagonals + nr_eyes",0.575
"1029","dummy.living ~ verticalness + bottom2tile + horizontalness",0.575
"1042","dummy.living ~ verticalness + left_diagonals + right_diagonals",0.575
"1068","dummy.living ~ top2tile + horizontalness + hollowness",0.575
"1097","dummy.living ~ bottom2tile + right_diagonals + nr_eyes",0.575
"33","dummy.living ~ nr_pix + width + nr_eyes",0.56875
"46","dummy.living ~ nr_pix + span + left_diagonals",0.56875
"49","dummy.living ~ nr_pix + span + nr_eyes",0.56875
"62","dummy.living ~ nr_pix + rows_with_5 + right_diagonals",0.56875
"95","dummy.living ~ nr_pix + neigh5 + right2tile",0.56875
"121","dummy.living ~ nr_pix + right2tile + left_diagonals",0.56875
"245","dummy.living ~ height + neigh1 + hollowness",0.56875
"295","dummy.living ~ height + top2tile + hollowness",0.56875
"344","dummy.living ~ width + rows_with_5 + left2tile",0.56875
"383","dummy.living ~ width + neigh5 + left2tile",0.56875
"395","dummy.living ~ width + left2tile + right2tile",0.56875
"427","dummy.living ~ width + top2tile + left_diagonals",0.56875
"603","dummy.living ~ rows_with_5 + neigh1 + right_diagonals",0.56875
"629","dummy.living ~ rows_with_5 + left2tile + hollowness",0.56875
"652","dummy.living ~ rows_with_5 + top2tile + left_diagonals",0.56875
"660","dummy.living ~ rows_with_5 + bottom2tile + right_diagonals",0.56875
"959","dummy.living ~ left2tile + horizontalness + hollowness",0.56875
"1017","dummy.living ~ right2tile + nr_regions + avg_pixel_weight",0.56875
"1090","dummy.living ~ bottom2tile + horizontalness + avg_pixel_weight",0.56875
"23","dummy.living ~ nr_pix + width + neigh5",0.5625
"25","dummy.living ~ nr_pix + width + right2tile",0.5625
"30","dummy.living ~ nr_pix + width + left_diagonals",0.5625
"89","dummy.living ~ nr_pix + neigh1 + right_diagonals",0.5625
"116","dummy.living ~ nr_pix + left2tile + avg_pixel_weight",0.5625
"126","dummy.living ~ nr_pix + right2tile + avg_pixel_weight",0.5625
"302","dummy.living ~ height + bottom2tile + hollowness",0.5625
"419","dummy.living ~ width + verticalness + left_diagonals",0.5625
"434","dummy.living ~ width + bottom2tile + left_diagonals",0.5625
"439","dummy.living ~ width + bottom2tile + avg_pixel_weight",0.5625
"509","dummy.living ~ span + neigh5 + left_diagonals",0.5625
"526","dummy.living ~ span + right2tile + verticalness",0.5625
"545","dummy.living ~ span + top2tile + bottom2tile",0.5625
"557","dummy.living ~ span + bottom2tile + nr_eyes",0.5625
"659","dummy.living ~ rows_with_5 + bottom2tile + left_diagonals",0.5625
"671","dummy.living ~ rows_with_5 + left_diagonals + right_diagonals",0.5625
"848","dummy.living ~ neigh1 + right_diagonals + avg_pixel_weight",0.5625
"921","dummy.living ~ left2tile + right2tile + verticalness",0.5625
"1021","dummy.living ~ verticalness + top2tile + bottom2tile",0.5625
"1058","dummy.living ~ top2tile + bottom2tile + left_diagonals",0.5625
"1074","dummy.living ~ top2tile + left_diagonals + avg_pixel_weight",0.5625
"44","dummy.living ~ nr_pix + span + bottom2tile",0.55625
"156","dummy.living ~ nr_pix + horizontalness + avg_pixel_weight",0.55625
"389","dummy.living ~ width + neigh5 + left_diagonals",0.55625
"392","dummy.living ~ width + neigh5 + nr_eyes",0.55625
"405","dummy.living ~ width + left2tile + avg_pixel_weight",0.55625
"468","dummy.living ~ span + rows_with_5 + bottom2tile",0.55625
"512","dummy.living ~ span + neigh5 + nr_eyes",0.55625
"563","dummy.living ~ span + horizontalness + nr_eyes",0.55625
"838","dummy.living ~ neigh1 + horizontalness + hollowness",0.55625
"846","dummy.living ~ neigh1 + right_diagonals + nr_eyes",0.55625
"930","dummy.living ~ left2tile + right2tile + avg_pixel_weight",0.55625
"1044","dummy.living ~ verticalness + left_diagonals + nr_eyes",0.55625
"1089","dummy.living ~ bottom2tile + horizontalness + hollowness",0.55625
"1124","dummy.living ~ left_diagonals + right_diagonals + avg_pixel_weight",0.55625
"54","dummy.living ~ nr_pix + rows_with_5 + neigh5",0.55
"117","dummy.living ~ nr_pix + right2tile + verticalness",0.55
"148","dummy.living ~ nr_pix + bottom2tile + nr_eyes",0.55
"349","dummy.living ~ width + rows_with_5 + horizontalness",0.55
"410","dummy.living ~ width + right2tile + left_diagonals",0.55
"418","dummy.living ~ width + verticalness + horizontalness",0.55
"432","dummy.living ~ width + top2tile + avg_pixel_weight",0.55
"445","dummy.living ~ width + horizontalness + avg_pixel_weight",0.55
"559","dummy.living ~ span + bottom2tile + avg_pixel_weight",0.55
"963","dummy.living ~ left2tile + left_diagonals + nr_eyes",0.55
"1063","dummy.living ~ top2tile + bottom2tile + avg_pixel_weight",0.55
"1095","dummy.living ~ bottom2tile + left_diagonals + avg_pixel_weight",0.55
"149","dummy.living ~ nr_pix + bottom2tile + hollowness",0.54375
"154","dummy.living ~ nr_pix + horizontalness + nr_eyes",0.54375
"308","dummy.living ~ height + horizontalness + hollowness",0.54375
"467","dummy.living ~ span + rows_with_5 + top2tile",0.54375
"565","dummy.living ~ span + horizontalness + avg_pixel_weight",0.54375
"797","dummy.living ~ neigh1 + left2tile + nr_eyes",0.54375
"925","dummy.living ~ left2tile + right2tile + left_diagonals",0.54375
"1030","dummy.living ~ verticalness + bottom2tile + left_diagonals",0.54375
"1069","dummy.living ~ top2tile + horizontalness + avg_pixel_weight",0.54375
"1116","dummy.living ~ horizontalness + nr_regions + hollowness",0.54375
"39","dummy.living ~ nr_pix + span + neigh5",0.5375
"61","dummy.living ~ nr_pix + rows_with_5 + left_diagonals",0.5375
"111","dummy.living ~ nr_pix + left2tile + left_diagonals",0.5375
"155","dummy.living ~ nr_pix + horizontalness + hollowness",0.5375
"347","dummy.living ~ width + rows_with_5 + top2tile",0.5375
"425","dummy.living ~ width + top2tile + bottom2tile",0.5375
"552","dummy.living ~ span + top2tile + avg_pixel_weight",0.5375
"908","dummy.living ~ neigh5 + left_diagonals + nr_eyes",0.5375
"1122","dummy.living ~ left_diagonals + right_diagonals + nr_eyes",0.5375
"469","dummy.living ~ span + rows_with_5 + horizontalness",0.53125
"631","dummy.living ~ rows_with_5 + right2tile + verticalness",0.53125
"879","dummy.living ~ neigh5 + verticalness + left_diagonals",0.53125
"1023","dummy.living ~ verticalness + top2tile + left_diagonals",0.53125
"1135","dummy.living ~ right_diagonals + nr_eyes + avg_pixel_weight",0.53125
"130","dummy.living ~ nr_pix + verticalness + left_diagonals",0.525
"141","dummy.living ~ nr_pix + top2tile + nr_eyes",0.525
"396","dummy.living ~ width + left2tile + verticalness",0.525
"450","dummy.living ~ width + left_diagonals + avg_pixel_weight",0.525
"470","dummy.living ~ span + rows_with_5 + left_diagonals",0.525
"972","dummy.living ~ left2tile + nr_regions + avg_pixel_weight",0.525
"570","dummy.living ~ span + left_diagonals + avg_pixel_weight",0.51875
"608","dummy.living ~ rows_with_5 + neigh5 + left2tile",0.51875
"1046","dummy.living ~ verticalness + left_diagonals + avg_pixel_weight",0.51875
"394","dummy.living ~ width + neigh5 + avg_pixel_weight",0.5125
"610","dummy.living ~ rows_with_5 + neigh5 + verticalness",0.5125
"855","dummy.living ~ neigh5 + left2tile + right2tile",0.5125
"55","dummy.living ~ nr_pix + rows_with_5 + left2tile",0.50625
"56","dummy.living ~ nr_pix + rows_with_5 + right2tile",0.50625
"57","dummy.living ~ nr_pix + rows_with_5 + verticalness",0.50625
"143","dummy.living ~ nr_pix + top2tile + avg_pixel_weight",0.50625
"463","dummy.living ~ span + rows_with_5 + neigh5",0.50625
"984","dummy.living ~ right2tile + verticalness + avg_pixel_weight",0.50625
"635","dummy.living ~ rows_with_5 + right2tile + left_diagonals",0.5
"348","dummy.living ~ width + rows_with_5 + bottom2tile",0.4875
"621","dummy.living ~ rows_with_5 + left2tile + verticalness",0.4875
"644","dummy.living ~ rows_with_5 + verticalness + left_diagonals",0.48125
"650","dummy.living ~ rows_with_5 + top2tile + bottom2tile",0.48125
"965","dummy.living ~ left2tile + left_diagonals + avg_pixel_weight",0.48125
"150","dummy.living ~ nr_pix + bottom2tile + avg_pixel_weight",0.475
"350","dummy.living ~ width + rows_with_5 + left_diagonals",0.46875
"625","dummy.living ~ rows_with_5 + left2tile + left_diagonals",0.46875
"59","dummy.living ~ nr_pix + rows_with_5 + bottom2tile",0.4625
"514","dummy.living ~ span + neigh5 + avg_pixel_weight",0.4625
"1010","dummy.living ~ right2tile + left_diagonals + avg_pixel_weight",0.4625
"161","dummy.living ~ nr_pix + left_diagonals + avg_pixel_weight",0.45625
"343","dummy.living ~ width + rows_with_5 + neigh5",0.45
"609","dummy.living ~ rows_with_5 + neigh5 + right2tile",0.45
"614","dummy.living ~ rows_with_5 + neigh5 + left_diagonals",0.4375
"865","dummy.living ~ neigh5 + left2tile + avg_pixel_weight",0.4375
"910","dummy.living ~ neigh5 + left_diagonals + avg_pixel_weight",0.4375
"105","dummy.living ~ nr_pix + neigh5 + avg_pixel_weight",0.43125
"875","dummy.living ~ neigh5 + right2tile + avg_pixel_weight",0.43125
"884","dummy.living ~ neigh5 + verticalness + avg_pixel_weight",0.43125
"1088","dummy.living ~ bottom2tile + horizontalness + nr_eyes",0.43125
"1067","dummy.living ~ top2tile + horizontalness + nr_eyes",0.40625
